result,pnl,tick,time_window,date,month,stock
TIMEOUT,-1224.94,2,5,2026-03-16,2026-03,5347
TIMEOUT,-2224.94,2,10,2026-03-16,2026-03,5347
TIMEOUT,-2224.94,2,15,2026-03-16,2026-03,5347
TIMEOUT,-1224.94,3,5,2026-03-16,2026-03,5347
TIMEOUT,-2224.94,3,10,2026-03-16,2026-03,5347
TIMEOUT,-2224.94,3,15,2026-03-16,2026-03,5347
TIMEOUT,-1224.94,5,5,2026-03-16,2026-03,5347
TIMEOUT,-2224.94,5,10,2026-03-16,2026-03,5347
TIMEOUT,-2224.94,5,15,2026-03-16,2026-03,5347
TIMEOUT,-1224.94,8,5,2026-03-16,2026-03,5347
TIMEOUT,-2224.94,8,10,2026-03-16,2026-03,5347
TIMEOUT,-2224.94,8,15,2026-03-16,2026-03,5347
TP,198.776,1,5,2026-03-16,2026-03,1773
TP,198.776,1,10,2026-03-16,2026-03,1773
TP,198.776,1,15,2026-03-16,2026-03,1773
TP,698.7760000000001,2,5,2026-03-16,2026-03,1773
TP,698.7760000000001,2,10,2026-03-16,2026-03,1773
TP,698.7760000000001,2,15,2026-03-16,2026-03,1773
TP,1198.776,3,5,2026-03-16,2026-03,1773
TP,1198.776,3,10,2026-03-16,2026-03,1773
TP,1198.776,3,15,2026-03-16,2026-03,1773
TIMEOUT,-301.224,5,5,2026-03-16,2026-03,1773
TIMEOUT,-2301.224,5,10,2026-03-16,2026-03,1773
TIMEOUT,-3301.224,5,15,2026-03-16,2026-03,1773
TIMEOUT,-301.224,8,5,2026-03-16,2026-03,1773
TIMEOUT,-2301.224,8,10,2026-03-16,2026-03,1773
TIMEOUT,-3301.224,8,15,2026-03-16,2026-03,1773
TIMEOUT,-4220.05,1,5,2026-03-16,2026-03,1815
TIMEOUT,-3720.05,1,10,2026-03-16,2026-03,1815
TIMEOUT,-2720.05,1,15,2026-03-16,2026-03,1815
TIMEOUT,-4220.05,2,5,2026-03-16,2026-03,1815
TIMEOUT,-3720.05,2,10,2026-03-16,2026-03,1815
TIMEOUT,-2720.05,2,15,2026-03-16,2026-03,1815
TIMEOUT,-4220.05,3,5,2026-03-16,2026-03,1815
TIMEOUT,-3720.05,3,10,2026-03-16,2026-03,1815
TIMEOUT,-2720.05,3,15,2026-03-16,2026-03,1815
TIMEOUT,-4220.05,5,5,2026-03-16,2026-03,1815
TIMEOUT,-3720.05,5,10,2026-03-16,2026-03,1815
TIMEOUT,-2720.05,5,15,2026-03-16,2026-03,1815
TIMEOUT,-4220.05,8,5,2026-03-16,2026-03,1815
TIMEOUT,-3720.05,8,10,2026-03-16,2026-03,1815
TIMEOUT,-2720.05,8,15,2026-03-16,2026-03,1815
TP,234.962,1,5,2026-03-16,2026-03,3231
TP,234.962,1,10,2026-03-16,2026-03,3231
TP,234.962,1,15,2026-03-16,2026-03,3231
TIMEOUT,-265.038,2,5,2026-03-16,2026-03,3231
TP,734.962,2,10,2026-03-16,2026-03,3231
TP,734.962,2,15,2026-03-16,2026-03,3231
TIMEOUT,-265.038,3,5,2026-03-16,2026-03,3231
TIMEOUT,-265.038,3,10,2026-03-16,2026-03,3231
TIMEOUT,-1265.038,3,15,2026-03-16,2026-03,3231
TIMEOUT,-265.038,5,5,2026-03-16,2026-03,3231
TIMEOUT,-265.038,5,10,2026-03-16,2026-03,3231
TIMEOUT,-1265.038,5,15,2026-03-16,2026-03,3231
TIMEOUT,-265.038,8,5,2026-03-16,2026-03,3231
TIMEOUT,-265.038,8,10,2026-03-16,2026-03,3231
TIMEOUT,-1265.038,8,15,2026-03-16,2026-03,3231
TP,181.17200000000003,1,5,2026-03-16,2026-03,2645
TP,181.17200000000003,1,10,2026-03-16,2026-03,2645
TP,181.17200000000003,1,15,2026-03-16,2026-03,2645
TP,681.172,2,5,2026-03-16,2026-03,2645
TP,681.172,2,10,2026-03-16,2026-03,2645
TP,681.172,2,15,2026-03-16,2026-03,2645
TP,1181.172,3,5,2026-03-16,2026-03,2645
TP,1181.172,3,10,2026-03-16,2026-03,2645
TP,1181.172,3,15,2026-03-16,2026-03,2645
TIMEOUT,-1318.828,5,5,2026-03-16,2026-03,2645
TIMEOUT,-1318.828,5,10,2026-03-16,2026-03,2645
TIMEOUT,-1818.828,5,15,2026-03-16,2026-03,2645
TIMEOUT,-1318.828,8,5,2026-03-16,2026-03,2645
TIMEOUT,-1318.828,8,10,2026-03-16,2026-03,2645
TIMEOUT,-1818.828,8,15,2026-03-16,2026-03,2645
TP,298.53200000000004,1,5,2026-03-16,2026-03,5871
TP,298.53200000000004,1,10,2026-03-16,2026-03,5871
TP,298.53200000000004,1,15,2026-03-16,2026-03,5871
TP,798.532,2,5,2026-03-16,2026-03,5871
TP,798.532,2,10,2026-03-16,2026-03,5871
TP,798.532,2,15,2026-03-16,2026-03,5871
TP,1298.532,3,5,2026-03-16,2026-03,5871
TP,1298.532,3,10,2026-03-16,2026-03,5871
TP,1298.532,3,15,2026-03-16,2026-03,5871
TIMEOUT,1298.532,5,5,2026-03-16,2026-03,5871
TIMEOUT,1298.532,5,10,2026-03-16,2026-03,5871
TIMEOUT,1298.532,5,15,2026-03-16,2026-03,5871
TIMEOUT,1298.532,8,5,2026-03-16,2026-03,5871
TIMEOUT,1298.532,8,10,2026-03-16,2026-03,5871
TIMEOUT,1298.532,8,15,2026-03-16,2026-03,5871
TP,2897.3,1,5,2026-03-16,2026-03,3324
TP,2897.3,1,10,2026-03-16,2026-03,3324
TP,2897.3,1,15,2026-03-16,2026-03,3324
TIMEOUT,-7102.7,2,5,2026-03-16,2026-03,3324
TIMEOUT,-12102.7,2,10,2026-03-16,2026-03,3324
TIMEOUT,-22102.7,2,15,2026-03-16,2026-03,3324
TIMEOUT,-7102.7,3,5,2026-03-16,2026-03,3324
TIMEOUT,-12102.7,3,10,2026-03-16,2026-03,3324
TIMEOUT,-22102.7,3,15,2026-03-16,2026-03,3324
TIMEOUT,-7102.7,5,5,2026-03-16,2026-03,3324
TIMEOUT,-12102.7,5,10,2026-03-16,2026-03,3324
TIMEOUT,-22102.7,5,15,2026-03-16,2026-03,3324
TIMEOUT,-7102.7,8,5,2026-03-16,2026-03,3324
TIMEOUT,-12102.7,8,10,2026-03-16,2026-03,3324
TIMEOUT,-22102.7,8,15,2026-03-16,2026-03,3324
TP,290.708,1,5,2026-03-16,2026-03,3045
TP,290.708,1,10,2026-03-16,2026-03,3045
TP,290.708,1,15,2026-03-16,2026-03,3045
TIMEOUT,290.708,2,5,2026-03-16,2026-03,3045
TIMEOUT,290.708,2,10,2026-03-16,2026-03,3045
TIMEOUT,-209.29199999999997,2,15,2026-03-16,2026-03,3045
TIMEOUT,290.708,3,5,2026-03-16,2026-03,3045
TIMEOUT,290.708,3,10,2026-03-16,2026-03,3045
TIMEOUT,-209.29199999999997,3,15,2026-03-16,2026-03,3045
TIMEOUT,290.708,5,5,2026-03-16,2026-03,3045
TIMEOUT,290.708,5,10,2026-03-16,2026-03,3045
TIMEOUT,-209.29199999999997,5,15,2026-03-16,2026-03,3045
TIMEOUT,290.708,8,5,2026-03-16,2026-03,3045
TIMEOUT,290.708,8,10,2026-03-16,2026-03,3045
TIMEOUT,-209.29199999999997,8,15,2026-03-16,2026-03,3045
TP,278.97200000000004,1,5,2026-03-16,2026-03,9917
TP,278.97200000000004,1,10,2026-03-16,2026-03,9917
TP,278.97200000000004,1,15,2026-03-16,2026-03,9917
TIMEOUT,278.97200000000004,2,5,2026-03-16,2026-03,9917
TIMEOUT,-221.02799999999996,2,10,2026-03-16,2026-03,9917
TIMEOUT,278.97200000000004,2,15,2026-03-16,2026-03,9917
TIMEOUT,278.97200000000004,3,5,2026-03-16,2026-03,9917
TIMEOUT,-221.02799999999996,3,10,2026-03-16,2026-03,9917
TIMEOUT,278.97200000000004,3,15,2026-03-16,2026-03,9917
TIMEOUT,278.97200000000004,5,5,2026-03-16,2026-03,9917
TIMEOUT,-221.02799999999996,5,10,2026-03-16,2026-03,9917
TIMEOUT,278.97200000000004,5,15,2026-03-16,2026-03,9917
TIMEOUT,278.97200000000004,8,5,2026-03-16,2026-03,9917
TIMEOUT,-221.02799999999996,8,10,2026-03-16,2026-03,9917
TIMEOUT,278.97200000000004,8,15,2026-03-16,2026-03,9917
TP,190.952,1,5,2026-03-16,2026-03,1513
TP,190.952,1,10,2026-03-16,2026-03,1513
TP,190.952,1,15,2026-03-16,2026-03,1513
TIMEOUT,-309.048,2,5,2026-03-16,2026-03,1513
TIMEOUT,-1309.048,2,10,2026-03-16,2026-03,1513
TIMEOUT,-809.048,2,15,2026-03-16,2026-03,1513
TIMEOUT,-309.048,3,5,2026-03-16,2026-03,1513
TIMEOUT,-1309.048,3,10,2026-03-16,2026-03,1513
TIMEOUT,-809.048,3,15,2026-03-16,2026-03,1513
TIMEOUT,-309.048,5,5,2026-03-16,2026-03,1513
TIMEOUT,-1309.048,5,10,2026-03-16,2026-03,1513
TIMEOUT,-809.048,5,15,2026-03-16,2026-03,1513
TIMEOUT,-309.048,8,5,2026-03-16,2026-03,1513
TIMEOUT,-1309.048,8,10,2026-03-16,2026-03,1513
TIMEOUT,-809.048,8,15,2026-03-16,2026-03,1513
TP,277.994,1,5,2026-03-16,2026-03,2344
TP,277.994,1,10,2026-03-16,2026-03,2344
TP,277.994,1,15,2026-03-16,2026-03,2344
TP,777.994,2,5,2026-03-16,2026-03,2344
TP,777.994,2,10,2026-03-16,2026-03,2344
TP,777.994,2,15,2026-03-16,2026-03,2344
TP,1277.9940000000001,3,5,2026-03-16,2026-03,2344
TP,1277.9940000000001,3,10,2026-03-16,2026-03,2344
TP,1277.9940000000001,3,15,2026-03-16,2026-03,2344
TP,2277.994,5,5,2026-03-16,2026-03,2344
TP,2277.994,5,10,2026-03-16,2026-03,2344
TP,2277.994,5,15,2026-03-16,2026-03,2344
TIMEOUT,1277.9940000000001,8,5,2026-03-16,2026-03,2344
TIMEOUT,1277.9940000000001,8,10,2026-03-16,2026-03,2344
TIMEOUT,1277.9940000000001,8,15,2026-03-16,2026-03,2344
TIMEOUT,-742.544,1,5,2026-03-16,2026-03,2385
TIMEOUT,-742.544,1,10,2026-03-16,2026-03,2385
TIMEOUT,-1242.5439999999999,1,15,2026-03-16,2026-03,2385
TIMEOUT,-742.544,2,5,2026-03-16,2026-03,2385
TIMEOUT,-742.544,2,10,2026-03-16,2026-03,2385
TIMEOUT,-1242.5439999999999,2,15,2026-03-16,2026-03,2385
TIMEOUT,-742.544,3,5,2026-03-16,2026-03,2385
TIMEOUT,-742.544,3,10,2026-03-16,2026-03,2385
TIMEOUT,-1242.5439999999999,3,15,2026-03-16,2026-03,2385
TIMEOUT,-742.544,5,5,2026-03-16,2026-03,2385
TIMEOUT,-742.544,5,10,2026-03-16,2026-03,2385
TIMEOUT,-1242.5439999999999,5,15,2026-03-16,2026-03,2385
TIMEOUT,-742.544,8,5,2026-03-16,2026-03,2385
TIMEOUT,-742.544,8,10,2026-03-16,2026-03,2385
TIMEOUT,-1242.5439999999999,8,15,2026-03-16,2026-03,2385
TP,233.00600000000003,1,5,2026-03-16,2026-03,2412
TP,233.00600000000003,1,10,2026-03-16,2026-03,2412
TP,233.00600000000003,1,15,2026-03-16,2026-03,2412
TP,733.0060000000001,2,5,2026-03-16,2026-03,2412
TP,733.0060000000001,2,10,2026-03-16,2026-03,2412
TP,733.0060000000001,2,15,2026-03-16,2026-03,2412
TIMEOUT,-266.99399999999997,3,5,2026-03-16,2026-03,2412
TIMEOUT,233.00600000000003,3,10,2026-03-16,2026-03,2412
TIMEOUT,233.00600000000003,3,15,2026-03-16,2026-03,2412
TIMEOUT,-266.99399999999997,5,5,2026-03-16,2026-03,2412
TIMEOUT,233.00600000000003,5,10,2026-03-16,2026-03,2412
TIMEOUT,233.00600000000003,5,15,2026-03-16,2026-03,2412
TIMEOUT,-266.99399999999997,8,5,2026-03-16,2026-03,2412
TIMEOUT,233.00600000000003,8,10,2026-03-16,2026-03,2412
TIMEOUT,233.00600000000003,8,15,2026-03-16,2026-03,2412
TIMEOUT,-2268.95,1,5,2026-03-16,2026-03,3005
TIMEOUT,-3768.95,1,10,2026-03-16,2026-03,3005
TIMEOUT,-3768.95,1,15,2026-03-16,2026-03,3005
TIMEOUT,-2268.95,2,5,2026-03-16,2026-03,3005
TIMEOUT,-3768.95,2,10,2026-03-16,2026-03,3005
TIMEOUT,-3768.95,2,15,2026-03-16,2026-03,3005
TIMEOUT,-2268.95,3,5,2026-03-16,2026-03,3005
TIMEOUT,-3768.95,3,10,2026-03-16,2026-03,3005
TIMEOUT,-3768.95,3,15,2026-03-16,2026-03,3005
TIMEOUT,-2268.95,5,5,2026-03-16,2026-03,3005
TIMEOUT,-3768.95,5,10,2026-03-16,2026-03,3005
TIMEOUT,-3768.95,5,15,2026-03-16,2026-03,3005
TIMEOUT,-2268.95,8,5,2026-03-16,2026-03,3005
TIMEOUT,-3768.95,8,10,2026-03-16,2026-03,3005
TIMEOUT,-3768.95,8,15,2026-03-16,2026-03,3005
TP,1655.2400000000007,1,5,2026-03-16,2026-03,6442
TP,1655.2400000000007,1,10,2026-03-16,2026-03,6442
TP,1655.2400000000007,1,15,2026-03-16,2026-03,6442
TP,6655.240000000001,2,5,2026-03-16,2026-03,6442
TP,6655.240000000001,2,10,2026-03-16,2026-03,6442
TP,6655.240000000001,2,15,2026-03-16,2026-03,6442
TIMEOUT,6655.240000000001,3,5,2026-03-16,2026-03,6442
TP,11655.240000000002,3,10,2026-03-16,2026-03,6442
TP,11655.240000000002,3,15,2026-03-16,2026-03,6442
TIMEOUT,6655.240000000001,5,5,2026-03-16,2026-03,6442
TP,21655.24,5,10,2026-03-16,2026-03,6442
TP,21655.24,5,15,2026-03-16,2026-03,6442
TIMEOUT,6655.240000000001,8,5,2026-03-16,2026-03,6442
TP,36655.24,8,10,2026-03-16,2026-03,6442
TP,36655.24,8,15,2026-03-16,2026-03,6442
TP,157.7,1,5,2026-03-16,2026-03,8454
TP,157.7,1,10,2026-03-16,2026-03,8454
TP,157.7,1,15,2026-03-16,2026-03,8454
TP,657.7,2,5,2026-03-16,2026-03,8454
TP,657.7,2,10,2026-03-16,2026-03,8454
TP,657.7,2,15,2026-03-16,2026-03,8454
TIMEOUT,-842.3,3,5,2026-03-16,2026-03,8454
TIMEOUT,-1342.3,3,10,2026-03-16,2026-03,8454
TIMEOUT,-842.3,3,15,2026-03-16,2026-03,8454
TIMEOUT,-842.3,5,5,2026-03-16,2026-03,8454
TIMEOUT,-1342.3,5,10,2026-03-16,2026-03,8454
TIMEOUT,-842.3,5,15,2026-03-16,2026-03,8454
TIMEOUT,-842.3,8,5,2026-03-16,2026-03,8454
TIMEOUT,-1342.3,8,10,2026-03-16,2026-03,8454
TIMEOUT,-842.3,8,15,2026-03-16,2026-03,8454
TIMEOUT,-1826.652,1,5,2026-03-16,2026-03,2597
TIMEOUT,-4326.652,1,10,2026-03-16,2026-03,2597
TIMEOUT,-4326.652,1,15,2026-03-16,2026-03,2597
TIMEOUT,-1826.652,2,5,2026-03-16,2026-03,2597
TIMEOUT,-4326.652,2,10,2026-03-16,2026-03,2597
TIMEOUT,-4326.652,2,15,2026-03-16,2026-03,2597
TIMEOUT,-1826.652,3,5,2026-03-16,2026-03,2597
TIMEOUT,-4326.652,3,10,2026-03-16,2026-03,2597
TIMEOUT,-4326.652,3,15,2026-03-16,2026-03,2597
TIMEOUT,-1826.652,5,5,2026-03-16,2026-03,2597
TIMEOUT,-4326.652,5,10,2026-03-16,2026-03,2597
TIMEOUT,-4326.652,5,15,2026-03-16,2026-03,2597
TIMEOUT,-1826.652,8,5,2026-03-16,2026-03,2597
TIMEOUT,-4326.652,8,10,2026-03-16,2026-03,2597
TIMEOUT,-4326.652,8,15,2026-03-16,2026-03,2597
TIMEOUT,-11995.119999999999,1,5,2026-03-16,2026-03,6781
TIMEOUT,-25995.12,1,10,2026-03-16,2026-03,6781
TIMEOUT,-21995.12,1,15,2026-03-16,2026-03,6781
TIMEOUT,-11995.119999999999,2,5,2026-03-16,2026-03,6781
TIMEOUT,-25995.12,2,10,2026-03-16,2026-03,6781
TIMEOUT,-21995.12,2,15,2026-03-16,2026-03,6781
TIMEOUT,-11995.119999999999,3,5,2026-03-16,2026-03,6781
TIMEOUT,-25995.12,3,10,2026-03-16,2026-03,6781
TIMEOUT,-21995.12,3,15,2026-03-16,2026-03,6781
TIMEOUT,-11995.119999999999,5,5,2026-03-16,2026-03,6781
TIMEOUT,-25995.12,5,10,2026-03-16,2026-03,6781
TIMEOUT,-21995.12,5,15,2026-03-16,2026-03,6781
TIMEOUT,-11995.119999999999,8,5,2026-03-16,2026-03,6781
TIMEOUT,-25995.12,8,10,2026-03-16,2026-03,6781
TIMEOUT,-21995.12,8,15,2026-03-16,2026-03,6781
TP,139.118,1,5,2026-03-16,2026-03,2474
TP,139.118,1,10,2026-03-16,2026-03,2474
TP,139.118,1,15,2026-03-16,2026-03,2474
TP,639.1179999999999,2,5,2026-03-16,2026-03,2474
TP,639.1179999999999,2,10,2026-03-16,2026-03,2474
TP,639.1179999999999,2,15,2026-03-16,2026-03,2474
TP,1139.118,3,5,2026-03-16,2026-03,2474
TP,1139.118,3,10,2026-03-16,2026-03,2474
TP,1139.118,3,15,2026-03-16,2026-03,2474
TIMEOUT,639.1179999999999,5,5,2026-03-16,2026-03,2474
TIMEOUT,639.1179999999999,5,10,2026-03-16,2026-03,2474
TIMEOUT,639.1179999999999,5,15,2026-03-16,2026-03,2474
TIMEOUT,639.1179999999999,8,5,2026-03-16,2026-03,2474
TIMEOUT,639.1179999999999,8,10,2026-03-16,2026-03,2474
TIMEOUT,639.1179999999999,8,15,2026-03-16,2026-03,2474
TP,284.84000000000003,1,5,2026-03-16,2026-03,5483
TP,284.84000000000003,1,10,2026-03-16,2026-03,5483
TP,284.84000000000003,1,15,2026-03-16,2026-03,5483
TP,784.84,2,5,2026-03-16,2026-03,5483
TP,784.84,2,10,2026-03-16,2026-03,5483
TP,784.84,2,15,2026-03-16,2026-03,5483
TIMEOUT,-215.16,3,5,2026-03-16,2026-03,5483
TIMEOUT,-715.16,3,10,2026-03-16,2026-03,5483
TIMEOUT,-1715.16,3,15,2026-03-16,2026-03,5483
TIMEOUT,-215.16,5,5,2026-03-16,2026-03,5483
TIMEOUT,-715.16,5,10,2026-03-16,2026-03,5483
TIMEOUT,-1715.16,5,15,2026-03-16,2026-03,5483
TIMEOUT,-215.16,8,5,2026-03-16,2026-03,5483
TIMEOUT,-715.16,8,10,2026-03-16,2026-03,5483
TIMEOUT,-1715.16,8,15,2026-03-16,2026-03,5483
TP,3004.88,1,5,2026-03-16,2026-03,1590
TP,3004.88,1,10,2026-03-16,2026-03,1590
TP,3004.88,1,15,2026-03-16,2026-03,1590
TIMEOUT,-6995.12,2,5,2026-03-16,2026-03,1590
TIMEOUT,-16995.12,2,10,2026-03-16,2026-03,1590
TIMEOUT,-6995.12,2,15,2026-03-16,2026-03,1590
TIMEOUT,-6995.12,3,5,2026-03-16,2026-03,1590
TIMEOUT,-16995.12,3,10,2026-03-16,2026-03,1590
TIMEOUT,-6995.12,3,15,2026-03-16,2026-03,1590
TIMEOUT,-6995.12,5,5,2026-03-16,2026-03,1590
TIMEOUT,-16995.12,5,10,2026-03-16,2026-03,1590
TIMEOUT,-6995.12,5,15,2026-03-16,2026-03,1590
TIMEOUT,-6995.12,8,5,2026-03-16,2026-03,1590
TIMEOUT,-16995.12,8,10,2026-03-16,2026-03,1590
TIMEOUT,-6995.12,8,15,2026-03-16,2026-03,1590
TP,2926.6400000000003,1,5,2026-03-16,2026-03,5289
TP,2926.6400000000003,1,10,2026-03-16,2026-03,5289
TP,2926.6400000000003,1,15,2026-03-16,2026-03,5289
TIMEOUT,-12073.36,2,5,2026-03-16,2026-03,5289
TIMEOUT,-32073.36,2,10,2026-03-16,2026-03,5289
TIMEOUT,-27073.36,2,15,2026-03-16,2026-03,5289
TIMEOUT,-12073.36,3,5,2026-03-16,2026-03,5289
TIMEOUT,-32073.36,3,10,2026-03-16,2026-03,5289
TIMEOUT,-27073.36,3,15,2026-03-16,2026-03,5289
TIMEOUT,-12073.36,5,5,2026-03-16,2026-03,5289
TIMEOUT,-32073.36,5,10,2026-03-16,2026-03,5289
TIMEOUT,-27073.36,5,15,2026-03-16,2026-03,5289
TIMEOUT,-12073.36,8,5,2026-03-16,2026-03,5289
TIMEOUT,-32073.36,8,10,2026-03-16,2026-03,5289
TIMEOUT,-27073.36,8,15,2026-03-16,2026-03,5289
TP,2408.3,1,5,2026-03-16,2026-03,3491
TP,2408.3,1,10,2026-03-16,2026-03,3491
TP,2408.3,1,15,2026-03-16,2026-03,3491
TIMEOUT,-2591.7,2,5,2026-03-16,2026-03,3491
TP,7408.3,2,10,2026-03-16,2026-03,3491
TP,7408.3,2,15,2026-03-16,2026-03,3491
TIMEOUT,-2591.7,3,5,2026-03-16,2026-03,3491
TP,12408.3,3,10,2026-03-16,2026-03,3491
TP,12408.3,3,15,2026-03-16,2026-03,3491
TIMEOUT,-2591.7,5,5,2026-03-16,2026-03,3491
TP,22408.3,5,10,2026-03-16,2026-03,3491
TP,22408.3,5,15,2026-03-16,2026-03,3491
TIMEOUT,-2591.7,8,5,2026-03-16,2026-03,3491
TIMEOUT,22408.3,8,10,2026-03-16,2026-03,3491
TIMEOUT,27408.3,8,15,2026-03-16,2026-03,3491
TIMEOUT,-2740.5879999999997,1,5,2026-03-16,2026-03,6919
TIMEOUT,-3240.5879999999997,1,10,2026-03-16,2026-03,6919
TIMEOUT,-4240.588,1,15,2026-03-16,2026-03,6919
TIMEOUT,-2740.5879999999997,2,5,2026-03-16,2026-03,6919
TIMEOUT,-3240.5879999999997,2,10,2026-03-16,2026-03,6919
TIMEOUT,-4240.588,2,15,2026-03-16,2026-03,6919
TIMEOUT,-2740.5879999999997,3,5,2026-03-16,2026-03,6919
TIMEOUT,-3240.5879999999997,3,10,2026-03-16,2026-03,6919
TIMEOUT,-4240.588,3,15,2026-03-16,2026-03,6919
TIMEOUT,-2740.5879999999997,5,5,2026-03-16,2026-03,6919
TIMEOUT,-3240.5879999999997,5,10,2026-03-16,2026-03,6919
TIMEOUT,-4240.588,5,15,2026-03-16,2026-03,6919
TIMEOUT,-2740.5879999999997,8,5,2026-03-16,2026-03,6919
TIMEOUT,-3240.5879999999997,8,10,2026-03-16,2026-03,6919
TIMEOUT,-4240.588,8,15,2026-03-16,2026-03,6919
TP,1518.3200000000002,1,5,2026-03-16,2026-03,6805
TP,1518.3200000000002,1,10,2026-03-16,2026-03,6805
TP,1518.3200000000002,1,15,2026-03-16,2026-03,6805
TP,6518.32,2,5,2026-03-16,2026-03,6805
TP,6518.32,2,10,2026-03-16,2026-03,6805
TP,6518.32,2,15,2026-03-16,2026-03,6805
TIMEOUT,1518.3200000000002,3,5,2026-03-16,2026-03,6805
TP,11518.32,3,10,2026-03-16,2026-03,6805
TP,11518.32,3,15,2026-03-16,2026-03,6805
TIMEOUT,1518.3200000000002,5,5,2026-03-16,2026-03,6805
TP,21518.32,5,10,2026-03-16,2026-03,6805
TP,21518.32,5,15,2026-03-16,2026-03,6805
TIMEOUT,1518.3200000000002,8,5,2026-03-16,2026-03,6805
TIMEOUT,11518.32,8,10,2026-03-16,2026-03,6805
TIMEOUT,1518.3200000000002,8,15,2026-03-16,2026-03,6805
TIMEOUT,-20975.56,1,5,2026-03-16,2026-03,2404
TIMEOUT,-20975.56,1,10,2026-03-16,2026-03,2404
TIMEOUT,-21975.56,1,15,2026-03-16,2026-03,2404
TIMEOUT,-20975.56,2,5,2026-03-16,2026-03,2404
TIMEOUT,-20975.56,2,10,2026-03-16,2026-03,2404
TIMEOUT,-21975.56,2,15,2026-03-16,2026-03,2404
TIMEOUT,-20975.56,3,5,2026-03-16,2026-03,2404
TIMEOUT,-20975.56,3,10,2026-03-16,2026-03,2404
TIMEOUT,-21975.56,3,15,2026-03-16,2026-03,2404
TIMEOUT,-20975.56,5,5,2026-03-16,2026-03,2404
TIMEOUT,-20975.56,5,10,2026-03-16,2026-03,2404
TIMEOUT,-21975.56,5,15,2026-03-16,2026-03,2404
TIMEOUT,-20975.56,8,5,2026-03-16,2026-03,2404
TIMEOUT,-20975.56,8,10,2026-03-16,2026-03,2404
TIMEOUT,-21975.56,8,15,2026-03-16,2026-03,2404
TP,262.346,1,5,2026-03-17,2026-03,2344
TP,262.346,1,10,2026-03-17,2026-03,2344
TP,262.346,1,15,2026-03-17,2026-03,2344
TP,762.346,2,5,2026-03-17,2026-03,2344
TP,762.346,2,10,2026-03-17,2026-03,2344
TP,762.346,2,15,2026-03-17,2026-03,2344
TP,1262.346,3,5,2026-03-17,2026-03,2344
TP,1262.346,3,10,2026-03-17,2026-03,2344
TP,1262.346,3,15,2026-03-17,2026-03,2344
TIMEOUT,262.346,5,5,2026-03-17,2026-03,2344
TP,2262.346,5,10,2026-03-17,2026-03,2344
TP,2262.346,5,15,2026-03-17,2026-03,2344
TIMEOUT,262.346,8,5,2026-03-17,2026-03,2344
TIMEOUT,762.346,8,10,2026-03-17,2026-03,2344
TP,3762.346,8,15,2026-03-17,2026-03,2344
TP,277.016,1,5,2026-03-17,2026-03,5483
TP,277.016,1,10,2026-03-17,2026-03,5483
TP,277.016,1,15,2026-03-17,2026-03,5483
TP,777.0160000000001,2,5,2026-03-17,2026-03,5483
TP,777.0160000000001,2,10,2026-03-17,2026-03,5483
TP,777.0160000000001,2,15,2026-03-17,2026-03,5483
TP,1277.016,3,5,2026-03-17,2026-03,5483
TP,1277.016,3,10,2026-03-17,2026-03,5483
TP,1277.016,3,15,2026-03-17,2026-03,5483
TIMEOUT,-222.98399999999998,5,5,2026-03-17,2026-03,5483
TIMEOUT,1277.016,5,10,2026-03-17,2026-03,5483
TIMEOUT,277.016,5,15,2026-03-17,2026-03,5483
TIMEOUT,-222.98399999999998,8,5,2026-03-17,2026-03,5483
TIMEOUT,1277.016,8,10,2026-03-17,2026-03,5483
TIMEOUT,277.016,8,15,2026-03-17,2026-03,5483
TP,2222.48,1,5,2026-03-17,2026-03,3491
TP,2222.48,1,10,2026-03-17,2026-03,3491
TP,2222.48,1,15,2026-03-17,2026-03,3491
TP,7222.48,2,5,2026-03-17,2026-03,3491
TP,7222.48,2,10,2026-03-17,2026-03,3491
TP,7222.48,2,15,2026-03-17,2026-03,3491
TP,12222.48,3,5,2026-03-17,2026-03,3491
TP,12222.48,3,10,2026-03-17,2026-03,3491
TP,12222.48,3,15,2026-03-17,2026-03,3491
TP,22222.48,5,5,2026-03-17,2026-03,3491
TP,22222.48,5,10,2026-03-17,2026-03,3491
TP,22222.48,5,15,2026-03-17,2026-03,3491
TP,37222.48,8,5,2026-03-17,2026-03,3491
TP,37222.48,8,10,2026-03-17,2026-03,3491
TP,37222.48,8,15,2026-03-17,2026-03,3491
TP,293.64200000000005,1,5,2026-03-17,2026-03,5871
TP,293.64200000000005,1,10,2026-03-17,2026-03,5871
TP,293.64200000000005,1,15,2026-03-17,2026-03,5871
TIMEOUT,-206.35799999999998,2,5,2026-03-17,2026-03,5871
TP,793.642,2,10,2026-03-17,2026-03,5871
TP,793.642,2,15,2026-03-17,2026-03,5871
TIMEOUT,-206.35799999999998,3,5,2026-03-17,2026-03,5871
TIMEOUT,293.64200000000005,3,10,2026-03-17,2026-03,5871
TIMEOUT,293.64200000000005,3,15,2026-03-17,2026-03,5871
TIMEOUT,-206.35799999999998,5,5,2026-03-17,2026-03,5871
TIMEOUT,293.64200000000005,5,10,2026-03-17,2026-03,5871
TIMEOUT,293.64200000000005,5,15,2026-03-17,2026-03,5871
TIMEOUT,-206.35799999999998,8,5,2026-03-17,2026-03,5871
